 "problem_instance" , "ela_feature_class" , "technique" , "sample_size" , "value" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/expl_var_PC1.cor_init" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "0.4843352524560263e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/expl_var_PC1.cor_x" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "0.47891986091963096e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/expl_var_PC1.cov_init" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "0.4963665319262741e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/expl_var_PC1.cov_x" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "0.488923187627997e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/h.max" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "0.7383456000682064e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/kurtosis" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "4.749648127779757e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/lin_simple.adj_r2" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "0.6255508079154259e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/lin_simple.coef.max" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "3372103.308406599e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/lin_simple.coef.max_by_min" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "19.269879615338546e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/lin_simple.coef.min" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "176445.88203905296e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/lin_simple.intercept" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "1.188761849884665E7" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/lin_w_interact.adj_r2" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "0.8991727325208175e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/m0" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "0.5020080321285141e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/nb_fitness.cor" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "-0.24826924241984616e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/nn_nb.cor" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "0.785019883495316e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/nn_nb.mean_ratio" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "0.8180619476056354e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/nn_nb.sd_ratio" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "0.8235546554289942e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/number_of_peaks" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "8.0e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/quad_simple.adj_r2" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "0.710434128319914e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/quad_simple.cond" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "15.231758604327538e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/quad_w_interact.adj_r2" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "0.9949660778857181e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/ratio_mean_02" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "0.7979411618167191e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/ratio_mean_05" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "0.8280845505755388e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/ratio_mean_10" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "0.8699677674479831e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/ratio_mean_25" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "0.8873389057505601e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/ratio_median_02" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "0.7812153222473792e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/ratio_median_05" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "0.8027002669077038e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/ratio_median_10" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "0.8641835828610616e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/ratio_median_25" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "0.891225818986213e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/skewness" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "2.06424849897731e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_2_dim_30" , "http://w3id.org/ontoopt/diff_mean_02" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "-1.483330498082502e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_2_dim_30" , "http://w3id.org/ontoopt/diff_mean_05" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "-1.2569809765556137e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_2_dim_30" , "http://w3id.org/ontoopt/diff_mean_10" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "-1.0898572383505183e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_2_dim_30" , "http://w3id.org/ontoopt/diff_mean_25" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "-0.756385380811393e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_2_dim_30" , "http://w3id.org/ontoopt/diff_median_02" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "-1.396012879325287e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_2_dim_30" , "http://w3id.org/ontoopt/diff_median_05" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "-1.1964289925121445e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_2_dim_30" , "http://w3id.org/ontoopt/diff_median_10" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "-1.004507937721618e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_2_dim_30" , "http://w3id.org/ontoopt/diff_median_25" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "-0.686809355469542e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_2_dim_30" , "http://w3id.org/ontoopt/dist_ratio.coeff_var" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "0.15117690465374334e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_2_dim_30" , "http://w3id.org/ontoopt/eps.max" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "537936.1503980698e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_2_dim_30" , "http://w3id.org/ontoopt/eps.ratio" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "6.011011011011011e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_2_dim_30" , "http://w3id.org/ontoopt/eps.s" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "6.731731731731731e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_2_dim_30" , "http://w3id.org/ontoopt/expl_var.cor_init" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "0.10430222088486366e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_2_dim_30" , "http://w3id.org/ontoopt/expl_var.cor_x" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "0.11455747216505506e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_2_dim_30" , "http://w3id.org/ontoopt/expl_var.cov_init" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "0.09834989779467802e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_2_dim_30" , "http://w3id.org/ontoopt/expl_var.cov_x" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "0.09683604098799253e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_2_dim_30" , "http://w3id.org/ontoopt/expl_var_PC1.cor_init" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "0.1052383914434786e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_2_dim_30" , "http://w3id.org/ontoopt/expl_var_PC1.cor_x" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "0.11353174024085397e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_2_dim_30" , "http://w3id.org/ontoopt/expl_var_PC1.cov_init" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "0.0973778259746512e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_2_dim_30" , "http://w3id.org/ontoopt/expl_var_PC1.cov_x" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "0.09761280518631552e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_2_dim_30" , "http://w3id.org/ontoopt/h.max" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "0.8349463183058558e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_2_dim_30" , "http://w3id.org/ontoopt/kurtosis" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "5.2451844350304215e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_2_dim_30" , "http://w3id.org/ontoopt/lin_simple.adj_r2" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "0.5929531204260292e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_2_dim_30" , "http://w3id.org/ontoopt/lin_simple.coef.max" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "2831653.915013032e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_2_dim_30" , "http://w3id.org/ontoopt/lin_simple.coef.max_by_min" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "92.16904528339515e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_2_dim_30" , "http://w3id.org/ontoopt/lin_simple.coef.min" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "30529.831334119135e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_2_dim_30" , "http://w3id.org/ontoopt/lin_simple.intercept" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "3.525543315572878E7" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_2_dim_30" , "http://w3id.org/ontoopt/lin_w_interact.adj_r2" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "0.963352554493534e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_2_dim_30" , "http://w3id.org/ontoopt/m0" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "0.576717811874583e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_2_dim_30" , "http://w3id.org/ontoopt/nb_fitness.cor" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "-0.38577349371002473e0" ,
